ID,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
2018-01559,0,0,0,0,1,0,0,0,1,0,0
2018-03739,1,0,0,1,1,0,0,0,0,0,0
2018-00385,1,0,1,0,0,0,0,0,0,0,0
2018-03001,1,0,0,1,1,0,0,0,0,0,0
2018-01988,1,0,0,1,1,0,0,0,0,0,0
2018-03463,1,0,0,1,1,0,0,0,0,0,0
2018-04315,0,0,1,0,1,0,0,0,0,0,0
2018-01426,0,0,0,0,1,0,0,0,1,0,0
2018-03332,1,0,0,1,1,0,0,0,0,0,0
2018-01938,1,0,0,1,1,0,0,0,0,0,0
2018-00264,0,0,0,0,1,0,0,0,1,0,0
2018-00840,0,0,1,0,1,0,0,0,0,0,0
2018-01343,0,0,0,0,1,0,0,0,1,0,0
2018-03467,1,0,1,0,0,0,0,0,0,0,0
2018-01203,0,0,1,0,1,0,0,0,0,0,0
2018-02225,1,0,0,0,0,0,0,0,1,0,0
2018-00375,0,0,0,0,1,0,0,0,1,0,0
2018-03838,0,0,1,0,1,0,0,0,0,0,0
2018-01077,1,0,1,0,0,0,0,0,0,0,0
2018-01569,1,0,0,0,0,0,0,0,1,0,0
2018-02679,0,0,0,0,1,0,0,0,1,0,0
2018-01476,1,0,0,1,1,0,0,0,0,0,0
2018-03943,1,0,0,1,1,0,0,0,0,0,0
2018-04100,1,0,0,1,1,0,0,0,0,0,0
2018-01586,0,0,1,0,1,0,0,0,0,0,0
2018-02990,0,0,1,0,1,0,0,0,0,0,0
2018-00590,1,0,0,1,1,0,0,0,0,0,0
2018-01227,0,0,0,0,1,0,0,0,1,0,0
2018-03682,1,0,0,1,1,0,0,0,0,0,0
2018-03354,1,0,0,1,1,0,0,0,0,0,0
2018-02069,1,0,0,1,1,0,0,0,0,0,0
2018-02758,1,0,0,0,0,0,0,0,1,0,0
2018-02674,1,0,0,1,1,0,0,0,0,0,0
2018-03424,0,0,0,0,1,0,0,0,1,0,0
2018-02888,1,0,0,1,1,0,0,0,0,0,0
2018-01891,0,0,0,0,1,0,0,0,1,0,0
2018-04132,1,0,0,1,1,0,0,0,0,0,0
2018-02625,1,0,0,1,1,0,0,0,0,0,0
2018-01873,1,0,1,0,0,0,0,0,0,0,0
2018-03748,0,0,1,0,1,0,0,0,0,0,0
2018-00390,0,0,1,0,1,0,0,0,0,0,0
2018-00486,1,0,0,1,1,0,0,0,0,0,0
2018-01361,0,0,0,0,1,0,0,0,1,0,0
2018-01149,1,0,0,1,1,0,0,0,0,0,0
2018-01459,1,0,0,1,1,0,0,0,0,0,0
2018-00647,1,0,0,1,1,0,0,0,0,0,0
2018-03390,0,0,0,0,1,0,0,0,1,0,0
2018-01905,1,0,0,1,1,0,0,0,0,0,0
2018-01090,1,0,0,1,1,0,0,0,0,0,0
2018-03437,1,0,0,1,1,0,0,0,0,0,0
2018-03213,1,0,0,1,1,0,0,0,0,0,0
2018-00272,0,0,0,0,1,0,0,0,1,0,0
2018-02363,1,0,0,1,1,0,0,0,0,0,0
2018-03815,1,0,0,1,1,0,0,0,0,0,0
2018-03195,1,0,0,1,1,0,0,0,0,0,0
2018-03940,0,0,0,0,1,0,0,0,1,0,0
2018-02582,1,0,0,1,1,0,0,0,0,0,0
2018-00425,0,0,1,0,1,0,0,0,0,0,0
2018-02433,1,0,0,0,0,0,0,0,1,0,0
2018-04040,0,0,0,0,1,0,0,0,1,0,0
2018-00240,1,0,0,1,1,0,0,0,0,0,0
2018-04057,0,0,0,0,1,0,0,0,1,0,0
2018-02756,0,0,1,0,1,0,0,0,0,0,0
2018-01925,0,0,1,0,1,0,0,0,0,0,0
2018-00445,0,0,1,0,1,0,0,0,0,0,0
2018-00461,1,0,0,1,1,0,0,0,0,0,0
2018-00335,1,0,0,1,1,0,0,0,0,0,0
2018-02851,1,0,0,1,1,0,0,0,0,0,0
2018-03167,0,0,0,0,1,0,0,0,1,0,0
2018-03524,0,0,1,0,1,0,0,0,0,0,0
2018-00626,1,0,0,1,1,0,0,0,0,0,0
2018-03204,0,0,0,0,1,0,0,0,1,0,0
2018-00392,1,0,0,1,1,0,0,0,0,0,0
2018-00812,1,0,0,1,1,0,0,0,0,0,0
2018-02183,0,0,0,0,1,0,0,0,1,0,0
2018-02476,1,0,0,1,1,0,0,0,0,0,0
2018-02541,1,0,0,1,1,0,0,0,0,0,0
2018-00963,0,0,1,0,1,0,0,0,0,0,0
2018-00838,1,0,0,1,1,0,0,0,0,0,0
2018-02629,1,0,1,0,0,0,0,0,0,0,0
2018-01366,1,0,0,1,1,0,0,0,0,0,0
2018-01753,1,0,0,1,1,0,0,0,0,0,0
2018-01251,1,0,0,0,0,0,0,0,1,0,0
2018-00768,1,0,0,0,0,0,0,0,1,0,0
2018-04006,1,0,0,1,1,0,0,0,0,0,0
2018-04336,1,0,0,1,1,0,0,0,0,0,0
2018-03885,1,0,0,1,1,0,0,0,0,0,0
2018-02867,0,0,1,0,1,0,0,0,0,0,0
2018-02989,1,0,0,1,1,0,0,0,0,0,0
2018-01750,1,0,0,1,1,0,0,0,0,0,0
2018-00675,1,0,0,1,1,0,0,0,0,0,0
2018-03771,1,0,0,0,0,0,0,0,1,0,0
2018-02226,1,0,0,1,1,0,0,0,0,0,0
2018-03778,1,0,0,1,1,0,0,0,0,0,0
2018-03777,1,0,0,1,1,0,0,0,0,0,0
2018-01851,1,0,0,1,1,0,0,0,0,0,0
2018-02370,1,0,0,1,1,0,0,0,0,0,0
2018-00283,1,0,0,0,0,0,0,0,1,0,0
2018-02640,0,0,0,0,1,0,0,0,1,0,0
2018-02429,0,0,0,0,1,0,0,0,1,0,0
2018-01099,1,0,0,1,1,0,0,0,0,0,0
2018-03886,0,0,1,0,1,0,0,0,0,0,0
2018-03183,1,0,0,1,1,0,0,0,0,0,0
2018-03522,1,0,0,0,0,0,0,0,1,0,0
2018-03403,1,0,0,0,0,0,0,0,1,0,0
2018-03000,1,0,0,1,1,0,0,0,0,0,0
2018-01173,1,0,0,0,0,0,0,0,1,0,0
2018-01992,1,0,0,1,1,0,0,0,0,0,0
2018-00201,0,0,0,0,1,0,0,0,1,0,0
2018-03225,1,0,0,1,1,0,0,0,0,0,0
2018-02728,1,0,0,1,1,0,0,0,0,0,0
2018-00273,1,0,0,0,0,0,0,0,1,0,0
2018-02276,1,0,0,1,1,0,0,0,0,0,0
2018-00833,1,0,0,1,1,0,0,0,0,0,0
2018-02005,1,0,0,1,1,0,0,0,0,0,0
2018-01900,1,0,0,1,1,0,0,0,0,0,0
2018-01541,1,0,0,1,1,0,0,0,0,0,0
2018-00261,0,0,0,0,1,0,0,0,1,0,0
2018-02636,1,0,0,0,0,0,0,0,1,0,0
2018-00270,0,0,1,0,1,0,0,0,0,0,0
2018-00437,1,0,0,1,1,0,0,0,0,0,0
2018-04071,1,0,0,1,1,0,0,0,0,0,0
2018-02162,1,0,0,1,1,0,0,0,0,0,0
2018-01542,0,0,1,0,1,0,0,0,0,0,0
2018-00177,1,0,0,1,1,0,0,0,0,0,0
2018-00107,1,0,0,1,1,0,0,0,0,0,0
2018-03714,1,0,0,1,1,0,0,0,0,0,0
2018-02000,0,0,0,0,1,0,0,0,1,0,0
2018-03266,1,0,0,1,1,0,0,0,0,0,0
2018-03816,1,0,0,1,1,0,0,0,0,0,0
2018-02259,0,0,0,0,1,0,0,0,1,0,0
2018-03057,1,0,0,1,1,0,0,0,0,0,0
2018-00078,1,0,0,1,1,0,0,0,0,0,0
2018-03741,1,0,0,1,1,0,0,0,0,0,0
2018-04124,1,0,0,1,1,0,0,0,0,0,0
2018-01861,1,0,0,1,1,0,0,0,0,0,0
2018-00016,1,0,0,1,0,0,0,0,0,0,0
2018-04059,0,0,0,0,1,0,0,0,1,0,0
2018-00361,1,0,0,0,0,0,0,0,1,0,0
2018-02966,1,0,0,1,1,0,0,0,0,0,0
2018-03482,0,0,0,0,1,0,0,0,1,0,0
2018-03766,0,0,0,0,1,0,0,0,1,0,0
2018-03945,0,0,0,0,1,0,0,0,1,0,0
2018-00843,0,0,1,0,1,0,0,0,0,0,0
2018-02589,0,0,0,0,1,0,0,0,1,0,0
2018-01613,1,0,0,1,1,0,0,0,0,0,0
2018-02156,0,0,1,0,1,0,0,0,0,0,0
2018-00810,1,0,0,1,1,0,0,0,0,0,0
2018-01082,1,0,0,1,1,0,0,0,0,0,0
2018-01756,0,0,1,0,1,0,0,0,0,0,0
2018-02623,0,0,1,0,1,0,0,0,0,0,0
2018-00986,1,0,0,1,1,0,0,0,0,0,0
2018-02568,1,0,0,0,0,0,0,0,1,0,0
2018-00112,1,0,0,0,0,0,0,0,1,0,0
2018-01545,0,0,1,0,1,0,0,0,0,0,0
2018-00623,0,0,0,0,1,0,0,0,1,0,0
2018-02776,0,0,0,0,1,0,0,0,1,0,0
2018-02757,0,0,1,0,1,0,0,0,0,0,0
2018-03387,1,0,0,1,1,0,0,0,0,0,0
2018-01570,1,0,0,1,1,0,0,0,0,0,0
2018-04108,0,0,1,0,1,0,0,0,0,0,0
2018-03121,1,0,0,1,1,0,0,0,0,0,0
2018-01441,1,0,0,1,1,0,0,0,0,0,0
2018-00219,1,0,0,1,1,0,0,0,0,0,0
2018-03456,1,0,0,1,1,0,0,0,0,0,0
2018-02481,1,0,1,0,0,0,0,0,0,0,0
2018-04202,1,0,0,1,1,0,0,0,0,0,0
2018-03069,1,0,0,0,0,0,0,0,1,0,0
2018-03166,1,0,0,1,1,0,0,0,0,0,0
2018-00143,0,0,1,0,1,0,0,0,0,0,0
2018-03993,0,0,1,0,1,0,0,0,0,0,0
2018-01286,1,0,0,1,1,0,0,0,0,0,0
2018-02596,1,0,0,0,0,0,0,0,1,0,0
2018-03930,0,0,1,0,1,0,0,0,0,0,0
2018-00491,1,0,0,0,0,0,0,0,1,0,0
2018-02483,0,0,1,0,1,0,0,0,0,0,0
2018-02994,1,0,0,1,1,0,0,0,0,0,0
2018-02650,0,0,0,0,1,0,0,0,1,0,0
2018-00446,1,0,0,1,1,0,0,0,0,0,0
2018-02188,0,0,1,0,1,0,0,0,0,0,0
2018-02426,1,0,0,1,1,0,0,0,0,0,0
2018-03270,1,0,0,1,1,0,0,0,0,0,0
2018-04215,0,0,0,0,1,0,0,0,1,0,0
2018-04368,1,0,0,1,1,0,0,0,0,0,0
2018-01710,0,0,0,0,1,0,0,0,1,0,0
2018-03513,1,0,0,1,1,0,0,0,0,0,0
2018-00658,1,0,0,0,0,0,0,0,1,0,0
2018-00587,1,0,0,1,1,0,0,0,0,0,0
2018-01748,0,0,1,0,1,0,0,0,0,0,0
2018-03473,1,0,0,1,1,0,0,0,0,0,0
2018-03200,1,0,0,1,1,0,0,0,0,0,0
2018-00289,1,0,0,1,1,0,0,0,0,0,0
2018-00539,1,0,1,0,0,0,0,0,0,0,0
2018-04249,1,0,0,1,1,0,0,0,0,0,0
2018-03865,0,0,0,0,1,0,0,0,1,0,0
2018-04203,0,0,0,0,1,0,0,0,1,0,0
2018-00343,1,0,0,1,1,0,0,0,0,0,0
2018-01127,1,0,0,1,1,0,0,0,0,0,0
2018-02081,0,0,0,0,1,0,0,0,1,0,0
2018-03878,0,0,0,0,1,0,0,0,1,0,0
2018-02718,1,0,0,1,1,0,0,0,0,0,0
2018-02306,0,0,1,0,1,0,0,0,0,0,0
2018-00476,1,0,0,1,1,0,0,0,0,0,0
2018-02220,1,0,0,1,1,0,0,0,0,0,0
2018-02488,0,0,0,0,1,0,0,0,1,0,0
2018-00759,1,0,0,0,0,0,0,0,1,0,0
2018-03745,1,0,0,1,1,0,0,0,0,0,0
2018-00895,1,0,0,1,1,0,0,0,0,0,0
2018-00719,1,0,0,0,0,0,0,0,1,0,0
